data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-04-12,17,45.693962,9.662369,Bergamo,PM2.5
2019-04-13,21,45.693962,9.662369,Bergamo,PM2.5
2019-04-14,11,45.693962,9.662369,Bergamo,PM2.5
2019-04-15,12,45.693962,9.662369,Bergamo,PM2.5
2019-04-16,19,45.693962,9.662369,Bergamo,PM2.5
2019-04-17,18,45.693962,9.662369,Bergamo,PM2.5
2019-04-18,21,45.693962,9.662369,Bergamo,PM2.5
2019-04-19,18,45.693962,9.662369,Bergamo,PM2.5
2019-04-20,16,45.693962,9.662369,Bergamo,PM2.5
2019-04-21,11,45.693962,9.662369,Bergamo,PM2.5
2019-04-22,17,45.693962,9.662369,Bergamo,PM2.5
2019-04-23,12,45.693962,9.662369,Bergamo,PM2.5
2019-04-24,11,45.693962,9.662369,Bergamo,PM2.5
2019-04-25,11,45.693962,9.662369,Bergamo,PM2.5
2019-04-26,12,45.693962,9.662369,Bergamo,PM2.5
2019-04-27,6,45.693962,9.662369,Bergamo,PM2.5
2019-04-28,6,45.693962,9.662369,Bergamo,PM2.5
2019-04-29,10,45.693962,9.662369,Bergamo,PM2.5
2019-04-30,15,45.693962,9.662369,Bergamo,PM2.5
2019-05-01,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-02,15,45.693962,9.662369,Bergamo,PM2.5
2019-05-03,10,45.693962,9.662369,Bergamo,PM2.5
2019-05-04,10,45.693962,9.662369,Bergamo,PM2.5
2019-05-05,6,45.693962,9.662369,Bergamo,PM2.5
2019-05-06,9,45.693962,9.662369,Bergamo,PM2.5
2019-05-07,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-08,15,45.693962,9.662369,Bergamo,PM2.5
2019-05-09,7,45.693962,9.662369,Bergamo,PM2.5
2019-05-10,16,45.693962,9.662369,Bergamo,PM2.5
2019-05-11,16,45.693962,9.662369,Bergamo,PM2.5
2019-05-12,9,45.693962,9.662369,Bergamo,PM2.5
2019-05-13,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-14,12,45.693962,9.662369,Bergamo,PM2.5
2019-05-15,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-16,16,45.693962,9.662369,Bergamo,PM2.5
2019-05-17,16,45.693962,9.662369,Bergamo,PM2.5
2019-05-18,10,45.693962,9.662369,Bergamo,PM2.5
2019-05-19,11,45.693962,9.662369,Bergamo,PM2.5
2019-05-20,13,45.693962,9.662369,Bergamo,PM2.5
2019-05-21,12,45.693962,9.662369,Bergamo,PM2.5
2019-05-22,14,45.693962,9.662369,Bergamo,PM2.5
2019-05-23,16,45.693962,9.662369,Bergamo,PM2.5
