data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-04-16,57.1,45.693962,9.662369,Bergamo,O3
2019-04-17,61.3,45.693962,9.662369,Bergamo,O3
2019-04-18,89.8,45.693962,9.662369,Bergamo,O3
2019-04-19,77.0,45.693962,9.662369,Bergamo,O3
2019-04-20,77.5,45.693962,9.662369,Bergamo,O3
2019-04-21,89.8,45.693962,9.662369,Bergamo,O3
2019-04-22,88.3,45.693962,9.662369,Bergamo,O3
2019-04-23,55.0,45.693962,9.662369,Bergamo,O3
2019-04-24,68.2,45.693962,9.662369,Bergamo,O3
2019-04-25,66.1,45.693962,9.662369,Bergamo,O3
2019-04-26,69.3,45.693962,9.662369,Bergamo,O3
2019-04-27,60.7,45.693962,9.662369,Bergamo,O3
2019-04-28,83.4,45.693962,9.662369,Bergamo,O3
2019-04-29,54.9,45.693962,9.662369,Bergamo,O3
2019-04-30,57.0,45.693962,9.662369,Bergamo,O3
2019-05-01,77.5,45.693962,9.662369,Bergamo,O3
2019-05-02,85.1,45.693962,9.662369,Bergamo,O3
2019-05-03,64.4,45.693962,9.662369,Bergamo,O3
2019-05-04,69.3,45.693962,9.662369,Bergamo,O3
2019-05-05,67.4,45.693962,9.662369,Bergamo,O3
2019-05-06,55.8,45.693962,9.662369,Bergamo,O3
2019-05-07,70.7,45.693962,9.662369,Bergamo,O3
2019-05-08,68.2,45.693962,9.662369,Bergamo,O3
2019-05-09,67.7,45.693962,9.662369,Bergamo,O3
2019-05-10,70.9,45.693962,9.662369,Bergamo,O3
2019-05-11,73.0,45.693962,9.662369,Bergamo,O3
2019-05-12,52.2,45.693962,9.662369,Bergamo,O3
2019-05-13,45.1,45.693962,9.662369,Bergamo,O3
2019-05-14,67.3,45.693962,9.662369,Bergamo,O3
2019-05-15,64.4,45.693962,9.662369,Bergamo,O3
2019-05-16,62.2,45.693962,9.662369,Bergamo,O3
2019-05-17,76.8,45.693962,9.662369,Bergamo,O3
2019-05-18,59.0,45.693962,9.662369,Bergamo,O3
2019-05-19,46.7,45.693962,9.662369,Bergamo,O3
2019-05-20,43.3,45.693962,9.662369,Bergamo,O3
2019-05-21,62.1,45.693962,9.662369,Bergamo,O3
2019-05-22,66.4,45.693962,9.662369,Bergamo,O3
2019-05-23,77.7,45.693962,9.662369,Bergamo,O3
2019-05-24,102.1,45.693962,9.662369,Bergamo,O3
2019-05-25,83.9,45.693962,9.662369,Bergamo,O3
2019-05-26,79.5,45.693962,9.662369,Bergamo,O3
2019-05-27,67.3,45.693962,9.662369,Bergamo,O3
2019-05-28,58.8,45.693962,9.662369,Bergamo,O3
2019-05-29,52.5,45.693962,9.662369,Bergamo,O3
2019-05-30,72.7,45.693962,9.662369,Bergamo,O3
2019-05-31,82.2,45.693962,9.662369,Bergamo,O3
2019-06-01,84.4,45.693962,9.662369,Bergamo,O3
2019-06-02,96.0,45.693962,9.662369,Bergamo,O3
2019-06-03,106.3,45.693962,9.662369,Bergamo,O3
2019-06-04,117.8,45.693962,9.662369,Bergamo,O3
2019-06-05,118.5,45.693962,9.662369,Bergamo,O3
2019-06-06,91.5,45.693962,9.662369,Bergamo,O3
2019-06-07,87.5,45.693962,9.662369,Bergamo,O3
2019-06-08,97.0,45.693962,9.662369,Bergamo,O3
2019-06-09,94.9,45.693962,9.662369,Bergamo,O3
2019-06-10,86.1,45.693962,9.662369,Bergamo,O3
2019-06-11,101.0,45.693962,9.662369,Bergamo,O3
2019-06-12,98.5,45.693962,9.662369,Bergamo,O3
2019-06-13,90.4,45.693962,9.662369,Bergamo,O3
2019-06-14,108.7,45.693962,9.662369,Bergamo,O3
2019-06-15,95.3,45.693962,9.662369,Bergamo,O3
2019-06-16,106.2,45.693962,9.662369,Bergamo,O3
2019-06-17,105.3,45.693962,9.662369,Bergamo,O3
2019-06-18,114.5,45.693962,9.662369,Bergamo,O3
2019-06-19,117.5,45.693962,9.662369,Bergamo,O3
2019-06-20,111.9,45.693962,9.662369,Bergamo,O3
2019-06-21,114.1,45.693962,9.662369,Bergamo,O3
2019-06-22,84.5,45.693962,9.662369,Bergamo,O3
2019-06-23,91.1,45.693962,9.662369,Bergamo,O3
2019-06-24,113.9,45.693962,9.662369,Bergamo,O3
2019-06-25,123.5,45.693962,9.662369,Bergamo,O3
2019-06-26,137.4,45.693962,9.662369,Bergamo,O3
2019-06-27,123.0,45.693962,9.662369,Bergamo,O3
2019-06-28,132.6,45.693962,9.662369,Bergamo,O3
2019-06-29,125.2,45.693962,9.662369,Bergamo,O3
2019-06-30,124.8,45.693962,9.662369,Bergamo,O3
2019-07-01,122.1,45.693962,9.662369,Bergamo,O3
2019-07-02,120.6,45.693962,9.662369,Bergamo,O3
2019-07-03,116.9,45.693962,9.662369,Bergamo,O3
2019-07-04,102.5,45.693962,9.662369,Bergamo,O3
2019-07-05,114.2,45.693962,9.662369,Bergamo,O3
2019-07-06,119.7,45.693962,9.662369,Bergamo,O3
2019-07-07,98.3,45.693962,9.662369,Bergamo,O3
2019-07-08,104.0,45.693962,9.662369,Bergamo,O3
2019-07-09,100.9,45.693962,9.662369,Bergamo,O3
2019-07-10,81.7,45.693962,9.662369,Bergamo,O3
2019-07-11,88.9,45.693962,9.662369,Bergamo,O3
2019-07-12,97.9,45.693962,9.662369,Bergamo,O3
2019-07-13,103.3,45.693962,9.662369,Bergamo,O3
2019-07-14,97.7,45.693962,9.662369,Bergamo,O3
2019-07-15,81.9,45.693962,9.662369,Bergamo,O3
2019-07-16,75.4,45.693962,9.662369,Bergamo,O3
2019-07-17,104.3,45.693962,9.662369,Bergamo,O3
2019-07-18,102.4,45.693962,9.662369,Bergamo,O3
2019-07-19,107.8,45.693962,9.662369,Bergamo,O3
2019-07-20,119.0,45.693962,9.662369,Bergamo,O3
